ticket_id,created_at,priority,category,assignment_group,region,channel,service,resolution_minutes,sla_target_minutes,sla_breached,reopened,csat_score,in_change_window
INC25013000029,2025-01-30T22:27,P3,Hardware,Networks,UK,Email,Printing,2649,2880,0,0,4.8,1
INC25021700030,2025-02-17T17:40,P4,Software,Networks,APAC,Monitoring,IAM,4058,5760,0,0,3.9,0
INC25051000031,2025-05-10T07:31,P2,Hardware,MajorIncident,EU,Email,Salesforce,851,960,0,0,5.0,0
INC25011100032,2025-01-11T06:57,P3,Network,FieldSupport,UK,Monitoring,M365,2806,2880,0,0,4.7,0
INC25020300033,2025-02-03T10:45,P3,Security,ServiceDesk-B,UK,Chat,VPN,5446,2880,1,0,3.5,0
INC25041800034,2025-04-18T00:19,P3,Software,EUCP,UK,Chat,VPN,2027,2880,0,0,4.1,0
INC25050900035,2025-05-09T21:56,P3,Software,Apps,UK,Portal,Salesforce,4722,2880,1,0,3.2,0
INC25011400036,2025-01-14T01:23,P3,Other,MajorIncident,UK,Portal,VPN,2596,2880,0,0,4.1,0
INC25061700037,2025-06-17T23:40,P4,Email,ServiceDesk-B,UK,Chat,Salesforce,3836,5760,0,0,4.1,0
INC25042100038,2025-04-21T02:26,P4,Security,ServiceDesk-A,US,Portal,SAP,6723,5760,1,0,3.7,0
INC25061900039,2025-06-19T00:10,P2,Access,ServiceDesk-A,EU,Portal,IAM,442,960,0,0,5.0,0
INC25051000040,2025-05-10T04:05,P3,Network,ServiceDesk-B,UK,Chat,SIEM,1522,2880,0,0,4.3,0
INC25011700041,2025-01-17T14:43,P3,Hardware,ServiceDesk-A,EU,Phone,VPN,2828,2880,0,0,4.0,0
INC25051400042,2025-05-14T10:07,P3,Software,ServiceDesk-A,UK,Chat,Intranet,2302,2880,0,0,4.5,0
INC25040900043,2025-04-09T04:57,P4,Network,ServiceDesk-A,UK,Portal,Intranet,7087,5760,1,0,3.4,0
INC25052400044,2025-05-24T07:14,P4,Email,ServiceDesk-A,UK,Portal,SIEM,6938,5760,1,0,3.9,0
INC25060900045,2025-06-09T03:27,P3,Network,ServiceDesk-A,APAC,Chat,Printing,2138,2880,0,0,5.0,0
INC25052600046,2025-05-26T22:32,P4,Access,SecurityOps,UK,Chat,SIEM,6588,5760,1,1,4.3,0
INC25060500047,2025-06-05T12:45,P4,Hardware,SecurityOps,UK,Chat,SIEM,5266,5760,0,0,4.9,0
INC25021000048,2025-02-10T00:54,P4,Software,ServiceDesk-B,EU,Portal,M365,5964,5760,1,0,3.0,0
INC25020400049,2025-02-04T18:19,P3,Email,MajorIncident,UK,Phone,Laptop,2099,2880,0,0,4.0,0
INC25062600050,2025-06-26T14:33,P3,Other,ServiceDesk-A,APAC,Portal,Printing,1886,2880,0,0,4.6,0
INC25021700051,2025-02-17T18:48,P2,Software,SecurityOps,UK,Phone,WiFi,977,960,1,1,2.7,0
INC25031100052,2025-03-11T08:02,P3,Hardware,Apps,UK,Chat,IAM,2172,2880,0,0,4.1,0
INC25051000053,2025-05-10T11:56,P4,Security,ServiceDesk-B,UK,Phone,Laptop,6278,5760,1,0,3.8,0
INC25022600054,2025-02-26T12:06,P4,Security,ServiceDesk-B,UK,Email,Laptop,8513,5760,1,0,4.3,0
INC25022300055,2025-02-23T05:13,P2,Software,FieldSupport,EU,Chat,IAM,694,960,0,0,4.2,0
INC25022400056,2025-02-24T04:06,P3,Access,ServiceDesk-B,UK,Phone,SAP,2696,2880,0,0,4.8,0
INC25032500057,2025-03-25T16:44,P3,Hardware,Networks,US,Phone,M365,4979,2880,1,0,2.8,0
INC25011600058,2025-01-16T06:19,P3,Network,ServiceDesk-B,US,Phone,SAP,3434,2880,1,0,3.6,0
INC25021000059,2025-02-10T10:26,P2,Access,ServiceDesk-B,UK,Chat,M365,631,960,0,1,4.3,0
INC25031600060,2025-03-16T14:23,P3,Hardware,Apps,UK,Portal,SAP,3518,2880,1,1,2.3,0
INC25010100061,2025-01-01T23:57,P4,Account,ServiceDesk-A,UK,Portal,Printing,5526,5760,0,0,3.4,1
INC25040400062,2025-04-04T05:34,P2,Hardware,FieldSupport,UK,Chat,SAP,538,960,0,0,4.8,0
INC25062700063,2025-06-27T19:41,P3,Other,FieldSupport,EU,Phone,WiFi,2524,2880,0,0,3.5,0
INC25053000064,2025-05-30T12:03,P3,Email,SecurityOps,UK,Portal,VPN,3944,2880,1,0,3.7,0
INC25042500065,2025-04-25T18:41,P4,Network,Apps,UK,Portal,VPN,5133,5760,0,0,4.4,0
INC25021800066,2025-02-18T21:48,P3,Network,ServiceDesk-A,UK,Phone,Salesforce,2189,2880,0,0,3.7,0
INC25011200067,2025-01-12T13:28,P3,Network,Networks,UK,Email,Intranet,5202,2880,1,0,3.2,0
INC25041600068,2025-04-16T03:13,P4,Email,SecurityOps,UK,Portal,Laptop,5656,5760,0,0,5.0,0
INC25051600069,2025-05-16T15:00,P4,Other,Networks,EU,Email,IAM,4066,5760,0,0,4.3,0
INC25020900070,2025-02-09T16:43,P3,Software,ServiceDesk-A,UK,Phone,Laptop,1786,2880,0,0,4.6,0
INC25013000071,2025-01-30T16:59,P3,Access,Apps,UK,Email,IAM,2736,2880,0,0,4.8,0
INC25010500072,2025-01-05T21:04,P3,Access,Networks,UK,Email,VPN,2225,2880,0,0,3.2,0
INC25022800073,2025-02-28T19:58,P4,Software,SecurityOps,US,Portal,M365,4790,5760,0,0,3.9,0
INC25010400074,2025-01-04T11:44,P3,Other,ServiceDesk-B,EU,Phone,SAP,2906,2880,1,0,3.7,0
INC25051600075,2025-05-16T18:17,P4,Hardware,ServiceDesk-A,UK,Portal,SAP,6229,5760,1,0,2.8,0
INC25041200076,2025-04-12T12:20,P3,Security,SecurityOps,UK,Phone,Salesforce,4174,2880,1,0,2.6,0
INC25012100077,2025-01-21T14:46,P4,Other,ServiceDesk-A,UK,Portal,SAP,7426,5760,1,0,4.1,0
INC25062200078,2025-06-22T11:18,P3,Security,ServiceDesk-A,EU,Phone,M365,2086,2880,0,0,3.6,0
INC25052000079,2025-05-20T01:07,P4,Network,ServiceDesk-A,APAC,Phone,Laptop,6650,5760,1,0,3.6,0
INC25031900080,2025-03-19T02:35,P3,Network,ServiceDesk-B,US,Chat,M365,3569,2880,1,0,5.0,0
INC25062200081,2025-06-22T22:36,P3,Email,Apps,UK,Phone,Printing,3890,2880,1,0,4.1,0
INC25021800082,2025-02-18T14:45,P4,Network,Networks,UK,Phone,VPN,6198,5760,1,0,3.9,0
INC25060300083,2025-06-03T07:24,P4,Access,FieldSupport,UK,Email,IAM,6920,5760,1,1,2.2,0
INC25031000084,2025-03-10T05:14,P1,Email,ServiceDesk-A,UK,Phone,Laptop,413,240,1,0,2.1,0
INC25060800085,2025-06-08T10:58,P4,Hardware,ServiceDesk-A,APAC,Portal,Salesforce,4969,5760,0,1,3.8,0
INC25032900086,2025-03-29T22:39,P4,Security,Apps,UK,Phone,M365,6332,5760,1,0,4.2,0
INC25020900087,2025-02-09T21:17,P4,Hardware,EUCP,UK,Email,WiFi,10964,5760,1,0,3.5,0
INC25051500088,2025-05-15T06:26,P3,Security,ServiceDesk-B,UK,Portal,VPN,2899,2880,1,1,3.0,0
INC25012200089,2025-01-22T12:28,P3,Account,ServiceDesk-A,UK,Email,Salesforce,6297,2880,1,0,4.7,0
INC25062500090,2025-06-25T18:56,P3,Hardware,ServiceDesk-A,UK,Portal,M365,1414,2880,0,0,4.4,0
INC25010300091,2025-01-03T13:07,P3,Hardware,MajorIncident,EU,Phone,M365,2213,2880,0,0,3.1,0
INC25060600092,2025-06-06T07:45,P3,Email,EUCP,UK,Email,VPN,3067,2880,1,0,4.0,0
INC25011000093,2025-01-10T05:56,P4,Software,FieldSupport,UK,Portal,SAP,6148,5760,1,0,3.2,0
INC25011000094,2025-01-10T15:35,P2,Network,ServiceDesk-B,APAC,Portal,Salesforce,1535,960,1,0,3.7,0
INC25042000095,2025-04-20T03:17,P4,Hardware,EUCP,UK,Email,Intranet,7246,5760,1,0,4.6,0
INC25062800096,2025-06-28T04:56,P3,Network,Apps,EU,Monitoring,VPN,1736,2880,0,0,4.0,0
INC25020700097,2025-02-07T23:37,P4,Access,ServiceDesk-A,UK,Portal,WiFi,4532,5760,0,0,5.0,0
INC25041700098,2025-04-17T21:15,P3,Hardware,Apps,EU,Email,SAP,1072,2880,0,0,3.6,1
INC25061600099,2025-06-16T07:17,P4,Network,Apps,APAC,Email,IAM,3632,5760,0,0,3.4,0
INC25042700100,2025-04-27T13:46,P4,Email,ServiceDesk-A,UK,Portal,Salesforce,3987,5760,0,0,4.4,0
INC25041300101,2025-04-13T10:58,P3,Access,Apps,EU,Monitoring,WiFi,2361,2880,0,0,5.0,0
INC25033000102,2025-03-30T21:11,P2,Access,Networks,UK,Portal,M365,505,960,0,0,4.6,0
INC25062300103,2025-06-23T03:27,P4,Network,FieldSupport,APAC,Phone,VPN,7034,5760,1,0,3.4,0
INC25010800104,2025-01-08T05:48,P4,Software,Apps,US,Portal,IAM,6293,5760,1,0,3.9,0
INC25042500105,2025-04-25T06:16,P3,Access,ServiceDesk-B,UK,Phone,SIEM,1985,2880,0,0,5.0,0
INC25030100106,2025-03-01T08:45,P4,Hardware,FieldSupport,US,Email,WiFi,7226,5760,1,0,3.8,0
INC25022600107,2025-02-26T14:42,P3,Other,Networks,UK,Monitoring,SAP,2271,2880,0,0,4.4,0
INC25040800108,2025-04-08T16:00,P3,Hardware,ServiceDesk-B,EU,Phone,Salesforce,2337,2880,0,0,4.9,0
INC25020600109,2025-02-06T15:22,P3,Other,Networks,EU,Portal,Printing,4420,2880,1,0,4.4,0
INC25042000110,2025-04-20T14:19,P3,Access,EUCP,EU,Portal,Printing,3445,2880,1,0,3.8,0
INC25061400111,2025-06-14T07:51,P3,Access,FieldSupport,UK,Phone,WiFi,3584,2880,1,0,2.9,0
INC25021900112,2025-02-19T05:11,P4,Other,ServiceDesk-B,EU,Email,Intranet,6003,5760,1,0,3.5,0
INC25040200113,2025-04-02T11:36,P4,Email,ServiceDesk-B,EU,Email,Intranet,4067,5760,0,0,5.0,0
INC25040200114,2025-04-02T09:25,P4,Hardware,ServiceDesk-B,EU,Monitoring,WiFi,4763,5760,0,0,5.0,0
INC25012700115,2025-01-27T17:55,P3,Software,EUCP,UK,Email,Laptop,2621,2880,0,0,4.5,0
INC25020300116,2025-02-03T22:58,P4,Network,ServiceDesk-B,EU,Portal,Salesforce,10460,5760,1,0,3.4,0
INC25050700117,2025-05-07T22:35,P4,Software,Apps,US,Monitoring,WiFi,4727,5760,0,1,4.3,1
INC25010700118,2025-01-07T15:55,P3,Network,FieldSupport,US,Email,IAM,4674,2880,1,0,3.3,0
INC25032400119,2025-03-24T05:55,P4,Software,Apps,UK,Email,Printing,12401,5760,1,0,4.1,0
INC25030200120,2025-03-02T22:35,P4,Security,FieldSupport,US,Chat,Laptop,5686,5760,0,0,3.5,0
INC25022600121,2025-02-26T23:58,P4,Account,FieldSupport,UK,Portal,SAP,8599,5760,1,0,3.9,1
INC25061500122,2025-06-15T18:24,P4,Account,Networks,UK,Phone,Intranet,5693,5760,0,0,3.7,0
INC25032100123,2025-03-21T20:41,P4,Email,ServiceDesk-A,EU,Portal,Laptop,2238,5760,0,0,5.0,0
INC25012700124,2025-01-27T04:51,P3,Network,SecurityOps,UK,Portal,Intranet,2853,2880,0,0,4.1,0
INC25042200125,2025-04-22T13:08,P3,Email,ServiceDesk-A,UK,Portal,VPN,2882,2880,1,1,3.8,0
INC25010200126,2025-01-02T16:35,P4,Email,Apps,UK,Email,Laptop,5881,5760,1,1,2.4,0
INC25041600127,2025-04-16T18:18,P3,Software,ServiceDesk-B,US,Portal,Laptop,3502,2880,1,1,3.4,0
INC25032800128,2025-03-28T23:27,P3,Network,EUCP,APAC,Portal,Printing,1995,2880,0,0,3.3,0
INC25042900129,2025-04-29T11:33,P3,Network,Apps,EU,Portal,IAM,2756,2880,0,0,5.0,0
INC25033100130,2025-03-31T09:51,P4,Hardware,SecurityOps,EU,Portal,SAP,7754,5760,1,0,4.4,0
INC25042200131,2025-04-22T18:14,P4,Account,Apps,US,Phone,Intranet,4910,5760,0,0,4.3,0
INC25042700132,2025-04-27T08:11,P3,Software,EUCP,EU,Portal,VPN,3224,2880,1,0,2.8,0
INC25051500133,2025-05-15T13:07,P2,Access,EUCP,APAC,Email,Intranet,808,960,0,0,4.4,0
INC25053000134,2025-05-30T11:38,P3,Email,Networks,US,Phone,Laptop,3257,2880,1,0,3.1,0
INC25012100135,2025-01-21T17:31,P4,Access,MajorIncident,US,Phone,Printing,4541,5760,0,0,5.0,0
INC25062400136,2025-06-24T02:36,P4,Software,SecurityOps,UK,Email,WiFi,7197,5760,1,0,2.9,0
INC25050200137,2025-05-02T02:37,P4,Network,FieldSupport,APAC,Portal,VPN,17628,5760,1,0,3.7,0
INC25010500138,2025-01-05T12:06,P4,Network,FieldSupport,UK,Portal,SIEM,16888,5760,1,0,2.9,0
INC25061300139,2025-06-13T16:33,P3,Software,ServiceDesk-A,APAC,Portal,WiFi,2631,2880,0,0,5.0,0
INC25011800140,2025-01-18T11:52,P4,Access,Networks,EU,Phone,Printing,4037,5760,0,0,3.9,0
INC25031700141,2025-03-17T10:37,P4,Access,Networks,UK,Email,Laptop,8594,5760,1,1,1.5,0
INC25062100142,2025-06-21T06:34,P1,Software,Networks,APAC,Chat,M365,267,240,1,0,4.7,0
INC25050400143,2025-05-04T10:08,P3,Other,ServiceDesk-B,UK,Portal,M365,3517,2880,1,0,4.1,0
INC25060200144,2025-06-02T15:30,P3,Security,Apps,EU,Portal,SIEM,2476,2880,0,0,5.0,0
INC25021300145,2025-02-13T20:13,P2,Network,ServiceDesk-A,EU,Portal,VPN,766,960,0,0,4.1,1
INC25060600146,2025-06-06T13:05,P3,Access,FieldSupport,UK,Chat,M365,1536,2880,0,0,5.0,0
INC25012400147,2025-01-24T09:33,P3,Access,Apps,UK,Portal,SIEM,2997,2880,1,0,3.6,0
INC25021200148,2025-02-12T19:51,P3,Access,ServiceDesk-A,EU,Email,Salesforce,1479,2880,0,0,3.9,0
INC25032700149,2025-03-27T17:22,P4,Network,ServiceDesk-A,UK,Monitoring,M365,5857,5760,1,0,3.6,0
INC25052100150,2025-05-21T23:32,P4,Network,Networks,APAC,Portal,WiFi,7299,5760,1,0,3.4,1
INC25031400151,2025-03-14T06:59,P4,Software,FieldSupport,UK,Portal,IAM,6194,5760,1,1,1.7,0
INC25011200152,2025-01-12T19:44,P3,Network,EUCP,UK,Monitoring,IAM,2936,2880,1,0,3.8,0
INC25032300153,2025-03-23T16:03,P3,Access,Apps,US,Phone,Salesforce,3747,2880,1,0,4.5,0
INC25051000154,2025-05-10T18:01,P3,Software,ServiceDesk-B,UK,Email,Laptop,3396,2880,1,0,2.9,0
INC25011800155,2025-01-18T02:46,P3,Security,ServiceDesk-B,UK,Chat,M365,3507,2880,1,0,4.5,0
INC25053000156,2025-05-30T17:15,P2,Access,SecurityOps,US,Email,IAM,1609,960,1,0,4.6,0
INC25041200157,2025-04-12T02:03,P3,Access,ServiceDesk-B,EU,Phone,Intranet,1722,2880,0,1,3.5,0
INC25051000158,2025-05-10T18:58,P4,Network,ServiceDesk-B,EU,Portal,SAP,8302,5760,1,0,4.4,0
INC25021000159,2025-02-10T08:44,P2,Email,ServiceDesk-B,EU,Phone,SIEM,499,960,0,1,3.5,0
INC25060200160,2025-06-02T03:04,P4,Account,Apps,EU,Portal,Intranet,8321,5760,1,0,2.2,0
INC25053000161,2025-05-30T07:16,P3,Hardware,Apps,UK,Portal,M365,4329,2880,1,0,3.3,0
INC25060600162,2025-06-06T13:48,P3,Software,ServiceDesk-A,EU,Portal,Salesforce,4628,2880,1,0,3.5,0
INC25020800163,2025-02-08T17:22,P3,Software,ServiceDesk-B,EU,Phone,IAM,3857,2880,1,0,3.6,0
INC25011600164,2025-01-16T07:00,P2,Access,Apps,EU,Portal,SAP,374,960,0,0,4.3,0
INC25032900165,2025-03-29T10:03,P3,Hardware,SecurityOps,UK,Email,VPN,3643,2880,1,0,3.7,0
INC25050300166,2025-05-03T03:03,P3,Security,ServiceDesk-A,UK,Phone,M365,2140,2880,0,0,4.8,0
INC25022400167,2025-02-24T06:07,P3,Access,ServiceDesk-B,UK,Portal,Salesforce,1762,2880,0,0,4.6,0
INC25020100168,2025-02-01T15:00,P3,Security,EUCP,US,Chat,M365,3296,2880,1,0,4.1,0
INC25060500169,2025-06-05T02:49,P2,Access,FieldSupport,US,Phone,IAM,631,960,0,0,4.0,0
INC25050800170,2025-05-08T17:02,P3,Access,ServiceDesk-A,UK,Chat,IAM,1840,2880,0,0,3.7,0
INC25053000171,2025-05-30T18:21,P4,Access,FieldSupport,UK,Phone,IAM,3577,5760,0,0,4.2,0
INC25031300172,2025-03-13T05:42,P3,Software,ServiceDesk-B,UK,Email,M365,6014,2880,1,1,2.8,0
INC25040200173,2025-04-02T18:59,P4,Software,SecurityOps,US,Chat,VPN,7138,5760,1,1,3.6,0
INC25012700174,2025-01-27T08:38,P2,Network,SecurityOps,EU,Portal,Salesforce,915,960,0,0,4.1,0
INC25033000175,2025-03-30T22:35,P4,Account,Networks,APAC,Phone,SAP,4419,5760,0,0,4.7,0
INC25042300176,2025-04-23T09:56,P4,Network,ServiceDesk-A,UK,Email,Laptop,6001,5760,1,0,1.8,0
INC25021900177,2025-02-19T10:35,P2,Network,ServiceDesk-B,UK,Portal,SIEM,664,960,0,0,2.8,0
INC25011400178,2025-01-14T19:28,P4,Email,Apps,UK,Email,IAM,6604,5760,1,0,3.6,0
INC25052300179,2025-05-23T12:39,P4,Software,SecurityOps,EU,Portal,WiFi,4713,5760,0,0,4.4,0
INC25012800180,2025-01-28T03:43,P2,Access,FieldSupport,UK,Phone,WiFi,421,960,0,0,4.4,0
INC25020100181,2025-02-01T01:27,P3,Software,Networks,UK,Portal,Laptop,2967,2880,1,0,3.4,0
INC25022000182,2025-02-20T22:06,P3,Software,EUCP,EU,Phone,M365,2181,2880,0,0,3.5,1
INC25011800183,2025-01-18T00:15,P4,Hardware,SecurityOps,EU,Chat,Intranet,6756,5760,1,0,4.0,0
INC25030200184,2025-03-02T00:07,P3,Access,ServiceDesk-B,APAC,Phone,Laptop,2455,2880,0,0,5.0,0
INC25041800185,2025-04-18T02:34,P4,Hardware,ServiceDesk-B,EU,Chat,SAP,12495,5760,1,0,4.1,0
INC25053000186,2025-05-30T05:06,P4,Security,EUCP,EU,Email,Laptop,5468,5760,0,0,4.2,0
INC25030700187,2025-03-07T06:25,P2,Hardware,FieldSupport,UK,Portal,M365,1478,960,1,0,2.5,0
INC25011400188,2025-01-14T21:21,P4,Access,SecurityOps,US,Chat,M365,3288,5760,0,0,4.7,0
INC25030200189,2025-03-02T14:49,P4,Access,ServiceDesk-B,UK,Chat,Salesforce,3974,5760,0,0,3.9,0
INC25052600190,2025-05-26T15:04,P2,Software,Networks,EU,Portal,WiFi,643,960,0,0,3.7,0
INC25022100191,2025-02-21T06:53,P4,Software,EUCP,UK,Chat,WiFi,2158,5760,0,0,4.8,0
INC25053100192,2025-05-31T07:41,P3,Other,MajorIncident,UK,Portal,Laptop,2384,2880,0,0,3.7,0
INC25040500193,2025-04-05T22:37,P4,Account,SecurityOps,UK,Portal,SAP,6837,5760,1,0,3.6,0
INC25060700194,2025-06-07T08:11,P3,Access,FieldSupport,US,Portal,Salesforce,3706,2880,1,0,2.7,0
INC25021900195,2025-02-19T02:27,P4,Access,Networks,APAC,Portal,WiFi,11658,5760,1,0,4.5,0
INC25030400196,2025-03-04T22:12,P1,Access,EUCP,UK,Monitoring,Laptop,145,240,0,0,4.7,0
INC25010600197,2025-01-06T01:46,P4,Email,Apps,EU,Portal,VPN,5669,5760,0,0,2.4,0
INC25053000198,2025-05-30T08:34,P4,Access,Apps,UK,Portal,M365,5961,5760,1,0,2.8,0
INC25021600199,2025-02-16T01:35,P4,Network,SecurityOps,UK,Portal,VPN,5112,5760,0,0,4.5,0
INC25022400200,2025-02-24T04:58,P2,Software,SecurityOps,UK,Portal,Intranet,659,960,0,0,4.3,0
INC25041800201,2025-04-18T09:54,P1,Network,ServiceDesk-B,UK,Email,IAM,234,240,0,0,4.8,0
INC25021300202,2025-02-13T07:14,P3,Security,ServiceDesk-A,APAC,Portal,IAM,4281,2880,1,0,4.4,0
INC25040200203,2025-04-02T07:39,P4,Network,ServiceDesk-B,UK,Phone,Printing,3386,5760,0,0,3.6,0
INC25021500204,2025-02-15T15:46,P1,Account,ServiceDesk-B,EU,Phone,Salesforce,246,240,1,0,3.0,0
INC25051300205,2025-05-13T08:00,P3,Access,EUCP,US,Portal,Salesforce,3074,2880,1,0,4.5,0
INC25032500206,2025-03-25T15:10,P4,Network,SecurityOps,UK,Phone,WiFi,8144,5760,1,0,3.1,0
INC25022200207,2025-02-22T19:40,P2,Hardware,ServiceDesk-A,APAC,Email,Printing,674,960,0,0,4.1,0
INC25040800208,2025-04-08T17:53,P3,Account,ServiceDesk-A,UK,Phone,Intranet,2732,2880,0,0,5.0,0
INC25030100209,2025-03-01T17:54,P2,Software,FieldSupport,EU,Chat,Laptop,707,960,0,0,5.0,0
INC25062500210,2025-06-25T06:29,P3,Software,FieldSupport,UK,Chat,Salesforce,1524,2880,0,0,3.6,0
INC25011500211,2025-01-15T04:57,P3,Email,EUCP,UK,Portal,SAP,3537,2880,1,0,2.8,0
INC25022500212,2025-02-25T04:03,P3,Software,Apps,UK,Portal,Intranet,3390,2880,1,0,3.2,0
INC25030500213,2025-03-05T11:03,P4,Hardware,MajorIncident,APAC,Portal,SAP,7438,5760,1,0,3.5,0
INC25030700214,2025-03-07T09:30,P4,Security,FieldSupport,UK,Phone,SIEM,5087,5760,0,0,5.0,0
INC25010700215,2025-01-07T06:19,P2,Account,ServiceDesk-B,UK,Phone,IAM,776,960,0,0,5.0,0
INC25050300216,2025-05-03T05:32,P4,Software,SecurityOps,EU,Email,Laptop,7412,5760,1,0,3.6,0
INC25042700217,2025-04-27T22:06,P3,Access,SecurityOps,UK,Email,IAM,2136,2880,0,0,3.7,0
INC25021700218,2025-02-17T02:52,P3,Software,MajorIncident,UK,Chat,WiFi,2391,2880,0,0,4.0,0
INC25012300219,2025-01-23T01:47,P4,Software,FieldSupport,UK,Portal,SAP,6120,5760,1,0,4.0,0
INC25060200220,2025-06-02T04:39,P3,Software,ServiceDesk-A,UK,Chat,SIEM,2240,2880,0,0,3.6,0
INC25050900221,2025-05-09T03:00,P4,Network,SecurityOps,UK,Portal,VPN,6559,5760,1,0,3.0,0
INC25012500222,2025-01-25T23:56,P4,Access,EUCP,UK,Chat,IAM,6325,5760,1,0,4.3,0
INC25042100223,2025-04-21T03:37,P2,Hardware,MajorIncident,EU,Email,Salesforce,403,960,0,0,4.5,0
INC25052900224,2025-05-29T04:49,P2,Other,Apps,UK,Phone,Laptop,385,960,0,0,5.0,0
INC25060800225,2025-06-08T00:47,P4,Network,ServiceDesk-A,APAC,Email,Intranet,7038,5760,1,0,5.0,0
INC25011000226,2025-01-10T23:23,P2,Access,ServiceDesk-A,UK,Phone,Laptop,607,960,0,0,4.8,0
INC25061900227,2025-06-19T08:42,P4,Email,ServiceDesk-B,EU,Email,M365,5546,5760,0,0,4.6,0
INC25022400228,2025-02-24T12:12,P3,Network,ServiceDesk-A,APAC,Portal,SAP,6079,2880,1,0,4.3,0
INC25051000229,2025-05-10T17:08,P3,Email,EUCP,US,Portal,M365,2610,2880,0,0,4.4,0
INC25042600230,2025-04-26T11:04,P3,Security,SecurityOps,UK,Phone,WiFi,2892,2880,1,0,3.3,0
INC25042300231,2025-04-23T21:20,P3,Other,Networks,US,Phone,VPN,7318,2880,1,0,3.8,1
INC25011400232,2025-01-14T03:14,P2,Software,Networks,UK,Phone,Laptop,711,960,0,0,4.0,0
INC25051000233,2025-05-10T07:19,P4,Email,MajorIncident,UK,Email,IAM,6234,5760,1,0,1.8,0
INC25022700234,2025-02-27T10:34,P3,Hardware,ServiceDesk-B,UK,Portal,Laptop,1925,2880,0,0,3.4,0
INC25042100235,2025-04-21T18:25,P3,Email,ServiceDesk-A,UK,Phone,Laptop,1305,2880,0,0,4.1,0
